test_name,test_status,test_result
parmcmisc_stuckat_edt_edt_low_internal_serial_scan,FAIL,"Cannot find test '/nfs/site/disks/nwp_mod_0002/release/nio_mc/nio_mc-a0-26ww13a/verif/scan_val.static/output/parmcmisc/stuckat_edt_low_internal/validation/parmcmisc_stuckat_edt_edt_low_internal_serial_scan.v'; tried absolute (it is not), '/nfs/site/disks/nwp_mod_0002/release/nio_mc/nio_mc-a0-26ww13a/verif/scan_val.static/output/parmcmisc/stuckat_edt_low_internal/validation/parmcmisc_stuckat_edt_edt_low_internal_serial_scan.v' in start_dir='/tmp/netbatch', '/nfs/site/disks/nwp_mod_0002/release/nio_mc/nio_mc-a0-26ww13a/verif/scan_val.static/output/parmcmisc/stuckat_edt_low_internal/validation/parmcmisc_stuckat_edt_edt_low_internal_serial_scan.v' in runtools_test_search_path='/nfs/site/disks/nwp_mod_0002/release/nio_mc/nio_mc-a0-26ww13a/src/val/tests/mc:/nfs/site/disks/nwp_mod_0002/release/nio_mc/nio_mc-a0-26ww13a/src/val/tests/d2d:/nfs/site/disks/nwp_mod_0002/release/nio_mc/nio_mc-a0-26ww13a/src/val/tests/imh:/nfs/site/disks/nwp_mod_0002/release/nio_mc/nio_mc-a0-26ww13a/src/val/tests/acc, get_path_from_mapfile(/nfs/site/disks/nwp_mod_0002/release/nio_mc/nio_mc-a0-26ww13a/verif/scan_val.static/output/parmcmisc/stuckat_edt_low_internal/validation/parmcmisc_stuckat_edt_edt_low_internal_serial_scan.v);; at Tue Mar 24 09:07:41 2026"
parmcmisc_stuckat_edt_edt_low_internal_serial_chain,FAIL,"Cannot find test '/nfs/site/disks/nwp_mod_0002/release/nio_mc/nio_mc-a0-26ww13a/verif/scan_val.static/output/parmcmisc/stuckat_edt_low_internal/validation/parmcmisc_stuckat_edt_edt_low_internal_serial_chain.v'; tried absolute (it is not), '/nfs/site/disks/nwp_mod_0002/release/nio_mc/nio_mc-a0-26ww13a/verif/scan_val.static/output/parmcmisc/stuckat_edt_low_internal/validation/parmcmisc_stuckat_edt_edt_low_internal_serial_chain.v' in start_dir='/tmp/netbatch', '/nfs/site/disks/nwp_mod_0002/release/nio_mc/nio_mc-a0-26ww13a/verif/scan_val.static/output/parmcmisc/stuckat_edt_low_internal/validation/parmcmisc_stuckat_edt_edt_low_internal_serial_chain.v' in runtools_test_search_path='/nfs/site/disks/nwp_mod_0002/release/nio_mc/nio_mc-a0-26ww13a/src/val/tests/mc:/nfs/site/disks/nwp_mod_0002/release/nio_mc/nio_mc-a0-26ww13a/src/val/tests/d2d:/nfs/site/disks/nwp_mod_0002/release/nio_mc/nio_mc-a0-26ww13a/src/val/tests/imh:/nfs/site/disks/nwp_mod_0002/release/nio_mc/nio_mc-a0-26ww13a/src/val/tests/acc, get_path_from_mapfile(/nfs/site/disks/nwp_mod_0002/release/nio_mc/nio_mc-a0-26ww13a/verif/scan_val.static/output/parmcmisc/stuckat_edt_low_internal/validation/parmcmisc_stuckat_edt_edt_low_internal_serial_chain.v);; at Tue Mar 24 09:07:41 2026"
parmcmse_ssn_continuity,FAIL,"Cannot find test '/nfs/site/disks/nwp_mod_0002/release/nio_mc/nio_mc-a0-26ww13a/verif/scan_val.static/output/parmcmse/validation/parmcmse_ssn_continuity.v'; tried absolute (it is not), '/nfs/site/disks/nwp_mod_0002/release/nio_mc/nio_mc-a0-26ww13a/verif/scan_val.static/output/parmcmse/validation/parmcmse_ssn_continuity.v' in start_dir='/tmp/netbatch', '/nfs/site/disks/nwp_mod_0002/release/nio_mc/nio_mc-a0-26ww13a/verif/scan_val.static/output/parmcmse/validation/parmcmse_ssn_continuity.v' in runtools_test_search_path='/nfs/site/disks/nwp_mod_0002/release/nio_mc/nio_mc-a0-26ww13a/src/val/tests/mc:/nfs/site/disks/nwp_mod_0002/release/nio_mc/nio_mc-a0-26ww13a/src/val/tests/d2d:/nfs/site/disks/nwp_mod_0002/release/nio_mc/nio_mc-a0-26ww13a/src/val/tests/imh:/nfs/site/disks/nwp_mod_0002/release/nio_mc/nio_mc-a0-26ww13a/src/val/tests/acc, get_path_from_mapfile(/nfs/site/disks/nwp_mod_0002/release/nio_mc/nio_mc-a0-26ww13a/verif/scan_val.static/output/parmcmse/validation/parmcmse_ssn_continuity.v);; at Tue Mar 24 09:07:44 2026"
parmemsram_ssn_continuity,FAIL,"Cannot find test '/nfs/site/disks/nwp_mod_0002/release/nio_mc/nio_mc-a0-26ww13a/verif/scan_val.static/output/parmemsram/validation/parmemsram_ssn_continuity.v'; tried absolute (it is not), '/nfs/site/disks/nwp_mod_0002/release/nio_mc/nio_mc-a0-26ww13a/verif/scan_val.static/output/parmemsram/validation/parmemsram_ssn_continuity.v' in start_dir='/tmp/netbatch', '/nfs/site/disks/nwp_mod_0002/release/nio_mc/nio_mc-a0-26ww13a/verif/scan_val.static/output/parmemsram/validation/parmemsram_ssn_continuity.v' in runtools_test_search_path='/nfs/site/disks/nwp_mod_0002/release/nio_mc/nio_mc-a0-26ww13a/src/val/tests/mc:/nfs/site/disks/nwp_mod_0002/release/nio_mc/nio_mc-a0-26ww13a/src/val/tests/d2d:/nfs/site/disks/nwp_mod_0002/release/nio_mc/nio_mc-a0-26ww13a/src/val/tests/imh:/nfs/site/disks/nwp_mod_0002/release/nio_mc/nio_mc-a0-26ww13a/src/val/tests/acc, get_path_from_mapfile(/nfs/site/disks/nwp_mod_0002/release/nio_mc/nio_mc-a0-26ww13a/verif/scan_val.static/output/parmemsram/validation/parmemsram_ssn_continuity.v);; at Tue Mar 24 09:07:44 2026"
parmcmisc_ssn_continuity,FAIL,"Cannot find test '/nfs/site/disks/nwp_mod_0002/release/nio_mc/nio_mc-a0-26ww13a/verif/scan_val.static/output/parmcmisc/validation/parmcmisc_ssn_continuity.v'; tried absolute (it is not), '/nfs/site/disks/nwp_mod_0002/release/nio_mc/nio_mc-a0-26ww13a/verif/scan_val.static/output/parmcmisc/validation/parmcmisc_ssn_continuity.v' in start_dir='/tmp/netbatch', '/nfs/site/disks/nwp_mod_0002/release/nio_mc/nio_mc-a0-26ww13a/verif/scan_val.static/output/parmcmisc/validation/parmcmisc_ssn_continuity.v' in runtools_test_search_path='/nfs/site/disks/nwp_mod_0002/release/nio_mc/nio_mc-a0-26ww13a/src/val/tests/mc:/nfs/site/disks/nwp_mod_0002/release/nio_mc/nio_mc-a0-26ww13a/src/val/tests/d2d:/nfs/site/disks/nwp_mod_0002/release/nio_mc/nio_mc-a0-26ww13a/src/val/tests/imh:/nfs/site/disks/nwp_mod_0002/release/nio_mc/nio_mc-a0-26ww13a/src/val/tests/acc, get_path_from_mapfile(/nfs/site/disks/nwp_mod_0002/release/nio_mc/nio_mc-a0-26ww13a/verif/scan_val.static/output/parmcmisc/validation/parmcmisc_ssn_continuity.v);; at Tue Mar 24 09:07:46 2026"
parmccore_ssn_continuity,FAIL,"Cannot find test '/nfs/site/disks/nwp_mod_0002/release/nio_mc/nio_mc-a0-26ww13a/verif/scan_val.static/output/parmccore/validation/parmccore_ssn_continuity.v'; tried absolute (it is not), '/nfs/site/disks/nwp_mod_0002/release/nio_mc/nio_mc-a0-26ww13a/verif/scan_val.static/output/parmccore/validation/parmccore_ssn_continuity.v' in start_dir='/tmp/netbatch', '/nfs/site/disks/nwp_mod_0002/release/nio_mc/nio_mc-a0-26ww13a/verif/scan_val.static/output/parmccore/validation/parmccore_ssn_continuity.v' in runtools_test_search_path='/nfs/site/disks/nwp_mod_0002/release/nio_mc/nio_mc-a0-26ww13a/src/val/tests/mc:/nfs/site/disks/nwp_mod_0002/release/nio_mc/nio_mc-a0-26ww13a/src/val/tests/d2d:/nfs/site/disks/nwp_mod_0002/release/nio_mc/nio_mc-a0-26ww13a/src/val/tests/imh:/nfs/site/disks/nwp_mod_0002/release/nio_mc/nio_mc-a0-26ww13a/src/val/tests/acc, get_path_from_mapfile(/nfs/site/disks/nwp_mod_0002/release/nio_mc/nio_mc-a0-26ww13a/verif/scan_val.static/output/parmccore/validation/parmccore_ssn_continuity.v);; at Tue Mar 24 09:07:46 2026"
parmcmisc_stuckat_edt_edt_low_internal_loopback,FAIL,"Cannot find test '/nfs/site/disks/nwp_mod_0002/release/nio_mc/nio_mc-a0-26ww13a/verif/scan_val.static/output/parmcmisc/stuckat_edt_low_internal/validation/parmcmisc_stuckat_edt_edt_low_internal_loopback.v'; tried absolute (it is not), '/nfs/site/disks/nwp_mod_0002/release/nio_mc/nio_mc-a0-26ww13a/verif/scan_val.static/output/parmcmisc/stuckat_edt_low_internal/validation/parmcmisc_stuckat_edt_edt_low_internal_loopback.v' in start_dir='/tmp/netbatch', '/nfs/site/disks/nwp_mod_0002/release/nio_mc/nio_mc-a0-26ww13a/verif/scan_val.static/output/parmcmisc/stuckat_edt_low_internal/validation/parmcmisc_stuckat_edt_edt_low_internal_loopback.v' in runtools_test_search_path='/nfs/site/disks/nwp_mod_0002/release/nio_mc/nio_mc-a0-26ww13a/src/val/tests/mc:/nfs/site/disks/nwp_mod_0002/release/nio_mc/nio_mc-a0-26ww13a/src/val/tests/d2d:/nfs/site/disks/nwp_mod_0002/release/nio_mc/nio_mc-a0-26ww13a/src/val/tests/imh:/nfs/site/disks/nwp_mod_0002/release/nio_mc/nio_mc-a0-26ww13a/src/val/tests/acc, get_path_from_mapfile(/nfs/site/disks/nwp_mod_0002/release/nio_mc/nio_mc-a0-26ww13a/verif/scan_val.static/output/parmcmisc/stuckat_edt_low_internal/validation/parmcmisc_stuckat_edt_edt_low_internal_loopback.v);; at Tue Mar 24 09:07:46 2026"
parmemphy_ijtag_basic_tap_tests_rw_access,FAIL,"Fail, RequiredText not found"
parmcmse_ijtag_basic_tap_tests_rw_access,PASS,PASS
parmemsram_ijtag_basic_tap_tests_rw_access,PASS,PASS
parmcmisc_ijtag_basic_tap_tests_rw_access,FAIL,Error between simulated and expected patterns
pardfi_ijtag_basic_tap_tests_rw_access,PASS,PASS
parmccore_ijtag_basic_tap_tests_rw_access,PASS,PASS
