report_name,report_timestamp,stack,total,pass,fail,missing,pass_pct,fail_pct,missing_pct
tap_general_report_20260528_080959.csv,2026-05-28 08:09:59,d2d,72,18,10,44,25.00,13.89,61.11
tap_general_report_20260528_080959.csv,2026-05-28 08:09:59,mc,90,28,13,49,31.11,14.44,54.44
tap_general_report_20260528_080959.csv,2026-05-28 08:09:59,uio,324,153,15,156,47.22,4.63,48.15
tap_general_report_20260528_161708.csv,2026-05-28 16:17:08,d2d,44,18,10,16,40.91,22.73,36.36
tap_general_report_20260528_161708.csv,2026-05-28 16:17:08,mc,44,28,13,3,63.64,29.55,6.82
tap_general_report_20260528_161708.csv,2026-05-28 16:17:08,uio,198,153,15,30,77.27,7.58,15.15
tap_general_report_20260601_131423.csv,2026-06-01 13:14:23,d2d,44,18,10,16,40.91,22.73,36.36
tap_general_report_20260601_131423.csv,2026-06-01 13:14:23,mc,44,27,14,3,61.36,31.82,6.82
tap_general_report_20260601_131423.csv,2026-06-01 13:14:23,uio,198,154,15,29,77.78,7.58,14.65
tap_general_report_20260603_081846.csv,2026-06-03 08:18:46,d2d,44,21,7,16,47.73,15.91,36.36
tap_general_report_20260603_081846.csv,2026-06-03 08:18:46,mc,44,18,23,3,40.91,52.27,6.82
tap_general_report_20260603_081846.csv,2026-06-03 08:18:46,uio,198,154,15,29,77.78,7.58,14.65
