report_name,report_timestamp,stack,total,pass,fail,missing,pass_pct,fail_pct,missing_pct
tap_general_report_20260528_080959.csv,2026-05-28 08:09:59,d2d,72,18,10,44,25.00,13.89,61.11
tap_general_report_20260528_080959.csv,2026-05-28 08:09:59,mc,90,28,13,49,31.11,14.44,54.44
tap_general_report_20260528_080959.csv,2026-05-28 08:09:59,uio,324,153,15,156,47.22,4.63,48.15
tap_general_report_20260528_161708.csv,2026-05-28 16:17:08,d2d,44,18,10,16,40.91,22.73,36.36
tap_general_report_20260528_161708.csv,2026-05-28 16:17:08,mc,44,28,13,3,63.64,29.55,6.82
tap_general_report_20260528_161708.csv,2026-05-28 16:17:08,uio,198,153,15,30,77.27,7.58,15.15
tap_general_report_20260601_131423.csv,2026-06-01 13:14:23,d2d,44,18,10,16,40.91,22.73,36.36
tap_general_report_20260601_131423.csv,2026-06-01 13:14:23,mc,44,27,14,3,61.36,31.82,6.82
tap_general_report_20260601_131423.csv,2026-06-01 13:14:23,uio,198,154,15,29,77.78,7.58,14.65
tap_general_report_20260603_081846.csv,2026-06-03 08:18:46,d2d,44,21,7,16,47.73,15.91,36.36
tap_general_report_20260603_081846.csv,2026-06-03 08:18:46,mc,44,18,23,3,40.91,52.27,6.82
tap_general_report_20260603_081846.csv,2026-06-03 08:18:46,uio,198,154,15,29,77.78,7.58,14.65
tap_general_report_20260608_101537.csv,2026-06-08 10:15:37,d2d,44,21,7,16,47.73,15.91,36.36
tap_general_report_20260608_101537.csv,2026-06-08 10:15:37,mc,44,24,17,3,54.55,38.64,6.82
tap_general_report_20260608_101537.csv,2026-06-08 10:15:37,uio,198,158,12,28,79.80,6.06,14.14
tap_general_report_20260611_091155.csv,2026-06-11 09:11:55,d2d,44,21,7,16,47.73,15.91,36.36
tap_general_report_20260611_091155.csv,2026-06-11 09:11:55,mc,44,24,17,3,54.55,38.64,6.82
tap_general_report_20260611_091155.csv,2026-06-11 09:11:55,uio,198,158,12,28,79.80,6.06,14.14
tap_general_report_20260615_104142.csv,2026-06-15 10:41:42,d2d,44,21,7,16,47.73,15.91,36.36
tap_general_report_20260615_104142.csv,2026-06-15 10:41:42,mc,44,24,17,3,54.55,38.64,6.82
tap_general_report_20260615_104142.csv,2026-06-15 10:41:42,uio,198,158,12,28,79.80,6.06,14.14
tap_general_report_20260619_112511.csv,2026-06-19 11:25:11,d2d,44,22,6,16,50.00,13.64,36.36
tap_general_report_20260619_112511.csv,2026-06-19 11:25:11,mc,44,24,17,3,54.55,38.64,6.82
tap_general_report_20260619_112511.csv,2026-06-19 11:25:11,uio,198,158,12,28,79.80,6.06,14.14
tap_general_report_20260622_083836.csv,2026-06-22 08:38:36,d2d,44,22,6,16,50.00,13.64,36.36
tap_general_report_20260622_083836.csv,2026-06-22 08:38:36,mc,44,24,17,3,54.55,38.64,6.82
tap_general_report_20260622_083836.csv,2026-06-22 08:38:36,uio,198,158,12,28,79.80,6.06,14.14
tap_general_report_20260629_151756.csv,2026-06-29 15:17:56,d2d,44,22,6,16,50.00,13.64,36.36
tap_general_report_20260629_151756.csv,2026-06-29 15:17:56,mc,55,31,20,4,56.36,36.36,7.27
tap_general_report_20260629_151756.csv,2026-06-29 15:17:56,uio,198,158,12,28,79.80,6.06,14.14
tap_general_report_20260706_102747.csv,2026-07-06 10:27:47,d2d,44,22,6,16,50.00,13.64,36.36
tap_general_report_20260706_102747.csv,2026-07-06 10:27:47,mc,55,33,10,12,60.00,18.18,21.82
tap_general_report_20260706_102747.csv,2026-07-06 10:27:47,uio,198,128,42,28,64.65,21.21,14.14
tap_general_report_20260713_084727.csv,2026-07-13 08:47:27,d2d,44,22,6,16,50.00,13.64,36.36
tap_general_report_20260713_084727.csv,2026-07-13 08:47:27,mc,55,33,10,12,60.00,18.18,21.82
tap_general_report_20260713_084727.csv,2026-07-13 08:47:27,uio,198,128,42,28,64.65,21.21,14.14
tap_general_report_20260720_085359.csv,2026-07-20 08:53:59,d2d,44,22,6,16,50.00,13.64,36.36
tap_general_report_20260720_085359.csv,2026-07-20 08:53:59,mc,55,43,10,2,78.18,18.18,3.64
tap_general_report_20260720_085359.csv,2026-07-20 08:53:59,uio,198,129,42,27,65.15,21.21,13.64
tap_general_report_20260727_085552.csv,2026-07-27 08:55:52,d2d,40,22,6,12,55.00,15.00,30.00
tap_general_report_20260727_085552.csv,2026-07-27 08:55:52,mc,52,43,9,0,82.69,17.31,0.00
tap_general_report_20260727_085552.csv,2026-07-27 08:55:52,uio,181,129,42,10,71.27,23.20,5.52
tap_general_report_20260727_101704.csv,2026-07-27 10:17:04,d2d,40,22,6,12,55.00,15.00,30.00
tap_general_report_20260727_101704.csv,2026-07-27 10:17:04,mc,52,43,9,0,82.69,17.31,0.00
tap_general_report_20260727_101704.csv,2026-07-27 10:17:04,uio,181,129,42,10,71.27,23.20,5.52
tap_general_report_20260727_101704.csv,2026-07-27 10:17:04,uioe,70,0,0,70,0.00,0.00,100.00
tap_general_report_20260727_110357.csv,2026-07-27 11:03:57,d2d,40,22,6,12,55.00,15.00,30.00
tap_general_report_20260727_110357.csv,2026-07-27 11:03:57,mc,52,43,9,0,82.69,17.31,0.00
tap_general_report_20260727_110357.csv,2026-07-27 11:03:57,uio,181,129,42,10,71.27,23.20,5.52
tap_general_report_20260727_110357.csv,2026-07-27 11:03:57,uioe,70,0,0,70,0.00,0.00,100.00
tap_general_report_20260727_111416.csv,2026-07-27 11:14:16,d2d,40,22,6,12,55.00,15.00,30.00
tap_general_report_20260727_111416.csv,2026-07-27 11:14:16,mc,52,43,9,0,82.69,17.31,0.00
tap_general_report_20260727_111416.csv,2026-07-27 11:14:16,uio,181,129,42,10,71.27,23.20,5.52
tap_general_report_20260727_111416.csv,2026-07-27 11:14:16,uioe,70,0,0,70,0.00,0.00,100.00
tap_general_report_20260727_112341.csv,2026-07-27 11:23:41,d2d,40,22,6,12,55.00,15.00,30.00
tap_general_report_20260727_112341.csv,2026-07-27 11:23:41,mc,52,43,9,0,82.69,17.31,0.00
tap_general_report_20260727_112341.csv,2026-07-27 11:23:41,uio,181,129,42,10,71.27,23.20,5.52
tap_general_report_20260727_112341.csv,2026-07-27 11:23:41,uioe,70,0,0,70,0.00,0.00,100.00
tap_general_report_20260727_162806.csv,2026-07-27 16:28:06,d2d,40,22,6,12,55.00,15.00,30.00
tap_general_report_20260727_162806.csv,2026-07-27 16:28:06,mc,52,43,9,0,82.69,17.31,0.00
tap_general_report_20260727_162806.csv,2026-07-27 16:28:06,uio,181,129,42,10,71.27,23.20,5.52
tap_general_report_20260727_162806.csv,2026-07-27 16:28:06,uioe,70,0,0,70,0.00,0.00,100.00
tap_general_report_20260804_103437.csv,2026-08-04 10:34:37,d2d,40,22,6,12,55.00,15.00,30.00
tap_general_report_20260804_103437.csv,2026-08-04 10:34:37,mc,52,42,10,0,80.77,19.23,0.00
tap_general_report_20260804_103437.csv,2026-08-04 10:34:37,uio,181,129,42,10,71.27,23.20,5.52
tap_general_report_20260804_103437.csv,2026-08-04 10:34:37,uioe,70,0,0,70,0.00,0.00,100.00
tap_general_report_20260804_110217.csv,2026-08-04 11:02:17,d2d,40,22,6,12,55.00,15.00,30.00
tap_general_report_20260804_110217.csv,2026-08-04 11:02:17,mc,52,42,10,0,80.77,19.23,0.00
tap_general_report_20260804_110217.csv,2026-08-04 11:02:17,uio,181,129,42,10,71.27,23.20,5.52
tap_general_report_20260804_110217.csv,2026-08-04 11:02:17,uioe,70,0,0,70,0.00,0.00,100.00
tap_general_report_20260804_130958.csv,2026-08-04 13:09:58,d2d,20,13,3,4,65.00,15.00,20.00
tap_general_report_20260804_130958.csv,2026-08-04 13:09:58,mc,27,23,4,0,85.19,14.81,0.00
tap_general_report_20260804_130958.csv,2026-08-04 13:09:58,uio,91,71,15,5,78.02,16.48,5.49
tap_general_report_20260804_130958.csv,2026-08-04 13:09:58,uioe,35,0,0,35,0.00,0.00,100.00
